metric,BASELINE_context_mean,BASELINE_drift,BASELINE_persistence,BASELINE_train_mean,RNN_R1,RNN_R2,RNN_R3,RNN_R4,TRANSFORMER_T1,TRANSFORMER_T2,TRANSFORMER_T3,TRANSFORMER_T4
Next-step RMSE (scaled),0.7770+-0.0065,0.0049+-0.0000*,0.0440+-0.0004,1.0011+-0.0071,0.0631+-0.0015,0.1785+-0.0041,0.0842+-0.0017,0.2002+-0.0042,0.5088+-0.0013,0.5604+-0.0040,0.2215+-0.0174,0.2322+-0.0046
Next-step MAE (scaled),0.5750+-0.0044,0.0025+-0.0000*,0.0345+-0.0003,0.7969+-0.0055,0.0438+-0.0011,0.1313+-0.0034,0.0649+-0.0014,0.1541+-0.0033,0.3988+-0.0022,0.4451+-0.0037,0.1686+-0.0134,0.1752+-0.0038
Rollout RMSE (phys),0.0251+-0.0001*,0.1488+-0.0011,0.0366+-0.0003,0.0270+-0.0001,0.0421+-0.0030,0.0368+-0.0005,0.0438+-0.0022,0.0390+-0.0009,0.0336+-0.0009,0.0343+-0.0019,0.0367+-0.0023,0.0348+-0.0010
Rollout MAE (phys),0.0194+-0.0001*,0.0988+-0.0007,0.0275+-0.0002,0.0212+-0.0001,0.0322+-0.0022,0.0283+-0.0005,0.0339+-0.0015,0.0299+-0.0007,0.0256+-0.0005,0.0261+-0.0011,0.0274+-0.0015,0.0264+-0.0007
Rollout NRMSE (RMSE/sigma),0.5360+-0.0023*,3.1758+-0.0257,0.7816+-0.0053,0.5752+-0.0030,0.8989+-0.0676,0.7852+-0.0147,0.9340+-0.0482,0.8329+-0.0189,0.7164+-0.0242,0.7320+-0.0383,0.7832+-0.0522,0.7424+-0.0181
Skill score vs baseline,0.0000+-0.0000*,-4.9250+-0.0475,-0.4581+-0.0080,-0.0731+-0.0028,-0.6771+-0.1252,-0.4649+-0.0265,-0.7423+-0.0851,-0.5539+-0.0391,-0.3365+-0.0415,-0.3657+-0.0696,-0.4611+-0.0970,-0.3851+-0.0390
Rollout RMSE mag (phys),0.0233+-0.0002*,0.1305+-0.0013,0.0369+-0.0004,0.0265+-0.0004,0.0390+-0.0044,0.0337+-0.0009,0.0426+-0.0026,0.0373+-0.0007,0.0335+-0.0020,0.0332+-0.0033,0.0359+-0.0042,0.0341+-0.0021
Rollout RMSE corr (phys),0.0255+-0.0001*,0.1526+-0.0011,0.0365+-0.0003,0.0270+-0.0002,0.0428+-0.0028,0.0374+-0.0005,0.0440+-0.0022,0.0394+-0.0011,0.0336+-0.0008,0.0345+-0.0016,0.0369+-0.0019,0.0349+-0.0008
